STATIONS_ID; MESS_DATUM; QUALITAETS_NIVEAU; LUFTTEMPERATUR;DAMPFDRUCK;BEDECKUNGSGRAD;LUFTDRUCK_STATIONSHOEHE;REL_FEUCHTE; WINDGESCHWINDIGKEIT; LUFTTEMPERATUR_MAXIMUM;LUFTTEMPERATUR_MINIMUM;LUFTTEMP_AM_ERDB_MINIMUM; WINDSPITZE_MAXIMUM; NIEDERSCHLAGSHOEHE;NIEDERSCHLAGSHOEHE_IND;SONNENSCHEINDAUER; SCHNEEHOEHE;eor
     2014;20151126;   3;    4.4;   7.6;   4.9; 1007.78;   90.71;   2.7;    6.7;    1.4;   -2.6;   6.2;   0.0;   0;    2.683;   0;eor
     2014;20151127;   3;    2.9;   6.4;   1.5; 1008.96;   84.83;   4.0;    6.4;    0.5;   -3.6;  10.3;   0.0;   0;    6.633;   0;eor
     2014;20151128;   3;    4.6;   6.6;   6.0; 1001.01;   78.00;   6.3;    7.3;    1.9;    0.3;  12.7;   4.8;   6;    3.400;   0;eor
     2014;20151129;   3;    8.1;   9.0;   7.8;  997.38;   83.38;   7.8;   11.2;    4.7;    3.8;  23.1;  15.1;   6;    0.000;   0;eor
     2014;20151130;   3;    7.1;   8.1;   7.4; 1002.80;   78.46;   6.8;   11.4;    3.6;    3.0;  22.8;  12.4;   6;    0.000;   0;eor
     2014;20151201;   3;    7.1;   8.7;   6.4; 1012.76;   85.88;   4.5;   11.1;    5.3;    3.4;  13.4;   0.5;   6;    1.450;   0;eor
     2014;20151202;   3;   10.6;   9.6;   8.0; 1017.78;   75.33;   4.4;   11.4;    9.0;    6.5;  10.5;   0.0;   0;    0.000;   0;eor
     2014;20151203;   3;    8.8;   7.9;   6.5; 1019.37;   70.25;   3.8;   11.4;    5.8;    2.9;   9.9;   0.0;   6;    4.667;   0;eor
     2014;20151204;   3;    8.4;   8.5;   6.0; 1016.47;   76.71;   5.8;    9.6;    5.8;    3.4;  13.9;   1.8;   6;    2.367;   0;eor
     2014;20151205;   3;    8.3;   6.7;   5.8; 1016.65;   61.67;   6.0;    9.8;    7.1;    3.4;  14.1;   0.0;   0;    0.283;   0;eor
     2014;20151206;   3;    9.6;   8.2;   5.2; 1013.15;   67.50;   6.8;   11.9;    6.8;    3.2;  14.7;   0.0;   6;    0.533;   0;eor
     2014;20151207;   3;   11.0;  11.5;   7.0; 1023.10;   87.21;   3.2;   11.8;    8.8;    6.0;   9.6;   0.0;   0;    0.000;   0;eor
     2014;20151208;   3;    9.7;   9.3;   2.3; 1021.68;   77.17;   3.6;   13.0;    6.8;    2.7;  10.5;   0.7;   6;    6.233;   0;eor
     2014;20151209;   3;    7.6;   8.7;   4.3; 1025.20;   82.54;   4.2;   10.1;    4.3;    0.1;  11.7;   0.0;   0;    3.833;   0;eor
     2014;20151210;   3;    4.8;   6.5;   4.3; 1023.20;   75.17;   5.1;    7.4;    3.0;   -0.7;  10.8;   1.9;   6;    5.867;   0;eor
     2014;20151211;   3;    5.9;   7.7;   7.3; 1012.69;   82.67;   6.3;    8.0;    3.3;    1.1;  15.4;   2.9;   6;    0.000;   0;eor
     2014;20151212;   3;    5.7;   7.6;   5.7; 1011.32;   83.25;   4.8;    9.9;    4.3;    0.9;  14.9;   7.6;   6;    3.600;   0;eor
     2014;20151213;   3;    5.7;   7.9;   6.7; 1010.29;   86.29;   5.5;   10.4;   -0.4;   -3.7;  21.4;   0.0;   6;    1.883;   0;eor
     2014;20151214;   3;    3.7;   7.2;   6.3; 1014.74;   89.04;   2.7;    7.6;   -0.5;   -2.5;   7.9;   0.0;   0;    0.000;   0;eor
     2014;20151215;   3;    6.1;   8.4;   6.4; 1016.33;   89.33;   1.8;    7.7;    2.6;   -0.6;   5.5;   0.0;   0;    0.000;   0;eor
     2014;20151216;   3;    8.6;  10.0;   7.7; 1016.12;   88.92;   4.2;   11.3;    5.8;    4.5;  10.3;   0.9;   6;    0.000;   0;eor
     2014;20151217;   3;   12.5;  12.5;   6.7; 1013.40;   85.92;   3.5;   14.4;   11.1;    7.1;   9.3;   0.5;   6;    0.483;   0;eor
     2014;20151218;   3;   12.3;  11.2;   7.3; 1012.85;   77.92;   4.5;   13.5;   10.3;    7.6;  10.6;   0.0;   6;    0.017;   0;eor
     2014;20151219;   3;   11.8;  10.7;   5.8; 1013.18;   77.25;   3.9;   13.8;    9.8;    5.9;   9.8;   0.0;   0;    3.833;   0;eor
     2014;20151220;   3;   11.7;  10.4;   7.1; 1009.68;   75.17;   4.0;   13.4;   10.0;    5.9;   8.7;   2.4;   6;    0.000;   0;eor
     2014;20151221;   3;   10.8;   9.9;   6.8; 1010.05;   76.13;   6.5;   12.2;    9.8;    8.1;  18.9;   0.6;   6;    2.367;   0;eor
     2014;20151222;   3;   12.5;  11.2;   6.1; 1011.43;   77.17;   6.8;   14.7;    9.8;    7.7;  14.9;   0.2;   6;    0.000;   0;eor
     2014;20151223;   3;   11.1;   9.6;   5.8; 1013.80;   72.00;   6.0;   13.8;    6.4;    0.9;  17.0;   0.5;   6;    2.967;   0;eor
     2014;20151224;   3;    9.7;   9.5;   5.3; 1013.79;   78.50;   5.6;   13.4;    5.3;    0.8;  16.3;   1.0;   6;    1.817;   0;eor
     2014;20151225;   3;    8.9;   9.2;   6.3; 1016.79;   80.04;   4.8;   13.3;    6.9;    4.1;  13.9;   1.3;   6;    1.233;   0;eor
     2014;20151226;   3;   13.8;  11.3;   7.1; 1014.39;   71.33;   7.5;   15.1;   12.2;    9.9;  17.1;   0.0;   0;    2.083;   0;eor
     2014;20151227;   3;   11.6;  10.1;   7.4; 1016.55;   73.96;   5.4;   13.2;    9.3;    6.7;  11.7;   0.1;   6;    0.000;   0;eor
     2014;20151228;   3;   10.4;  11.1;   7.6; 1021.95;   87.88;   3.7;   12.8;    7.7;    7.6;   9.8;   0.1;   6;    2.600;   0;eor
     2014;20151229;   3;    6.4;   8.8;   7.5; 1020.46;   91.79;   5.2;    8.5;    4.1;    2.6;  12.9;   0.0;   0;    1.617;   0;eor
     2014;20151230;   3;    5.6;   7.8;   5.6; 1020.36;   84.75;   4.0;    7.5;    2.5;   -0.1;  10.3;   0.0;   0;    0.000;   0;eor
     2014;20151231;   3;    3.8;   6.8;   4.8; 1013.30;   83.33;   4.9;    5.6;    2.2;   -0.7;  11.3;   3.6;   6;    0.000;   0;eor
     2014;20160101;   3;    4.3;   7.6;   5.7; 1017.35;   91.00;   2.5;    6.5;    1.8;   -1.4;   6.7;   0.0;   6;    0.017;   0;eor
     2014;20160102;   3;    1.4;   6.0;   7.8; 1010.43;   87.92;   7.0;    3.9;   -3.8;   -3.5;  16.1;   0.2;   7;    0.000;   0;eor
     2014;20160103;   3;   -4.1;   3.8;   7.8; 1002.53;   83.58;   7.6;   -3.6;   -4.7;   -4.4;  14.7;   1.1;   7;    0.000;   1;eor
     2014;20160104;   3;   -5.8;   3.3;   7.7;  987.81;   83.42;   6.3;   -4.7;   -6.7;   -6.9;  12.7;   0.7;   8;    0.000;   2;eor
     2014;20160105;   3;   -5.6;   3.5;   8.0;  990.30;   85.88;   6.1;   -5.0;   -6.2;   -6.5;  10.3;   2.8;   8;    0.000;   4;eor
     2014;20160106;   3;   -6.2;   3.2;   8.0;  995.78;   83.63;   5.4;   -5.4;   -7.0;   -7.2;  10.6;   0.0;   7;    0.000;   7;eor
     2014;20160107;   3;   -3.5;   4.2;   8.0;  991.06;   87.58;   5.5;    4.2;   -6.0;   -5.9;  11.3;   2.8;   8;    0.000;   6;eor
     2014;20160108;   3;    4.9;   6.4;   4.5;  992.23;   74.42;   6.5;    6.9;    1.5;   -4.0;  18.3;   0.0;   0;    2.333;   5;eor
     2014;20160109;   3;    2.8;   6.1;   3.6;  994.94;   82.13;   3.7;    6.5;   -0.4;   -5.4;   9.9;   0.0;   0;    3.783;   0;eor
     2014;20160110;   3;    5.5;   7.5;   5.7;  986.84;   82.38;   5.1;    8.3;    3.1;    0.4;  13.4;   3.6;   6;    2.200;   0;eor
     2014;20160111;   3;    4.9;   7.6;   6.9;  982.70;   87.58;   3.4;    5.9;    3.3;   -0.9;   8.2;   4.2;   6;    0.000;   0;eor
     2014;20160112;   3;    5.6;   7.7;   7.0;  985.43;   84.92;   4.1;    6.6;    4.9;    3.3;  11.5;   2.5;   6;    0.283;   0;eor
     2014;20160113;   3;    3.6;   6.8;   7.0;  998.55;   85.50;   4.9;    5.8;    1.2;   -3.2;  16.6;   0.5;   6;    0.000;   0;eor
     2014;20160114;   3;    2.7;   6.2;   5.5; 1000.01;   84.00;   4.8;    4.6;    0.8;   -2.7;  12.9;   1.0;   8;    0.983;   0;eor
