STATIONS_ID;MESS_DATUM;QN_3;  FX;  FM;QN_4; RSK;RSKF; SDK;SHK_TAG;  NM; VPM;  PM; TMK; UPM; TXK; TNK; TGK;eor
       2014;20151219;   10;   9.8;   3.9;    3;   0.0;   0;    3.833;   0;   5.8;  10.7; 1013.18;   11.8;   77.25;   13.8;    9.8;    5.9;eor
       2014;20151220;   10;   8.7;   4.0;    3;   2.4;   6;    0.000;   0;   7.1;  10.4; 1009.68;   11.7;   75.17;   13.4;   10.0;    5.9;eor
       2014;20151221;   10;  18.9;   6.5;    3;   0.6;   6;    2.367;   0;   6.8;   9.9; 1010.05;   10.8;   76.13;   12.2;    9.8;    8.1;eor
       2014;20151222;   10;  14.9;   6.8;    3;   0.2;   6;    0.000;   0;   6.1;  11.2; 1011.43;   12.5;   77.17;   14.7;    9.8;    7.7;eor
       2014;20151223;   10;  17.0;   6.0;    3;   0.5;   6;    2.967;   0;   5.8;   9.6; 1013.80;   11.1;   72.00;   13.8;    6.4;    0.9;eor
       2014;20151224;   10;  16.3;   5.6;    3;   1.0;   6;    1.817;   0;   5.3;   9.5; 1013.79;    9.7;   78.50;   13.4;    5.3;    0.8;eor
       2014;20151225;   10;  13.9;   4.8;    3;   1.3;   6;    1.233;   0;   6.3;   9.2; 1016.79;    8.9;   80.04;   13.3;    6.9;    4.1;eor
       2014;20151226;   10;  17.1;   7.5;    3;   0.0;   0;    2.083;   0;   7.1;  11.3; 1014.39;   13.8;   71.33;   15.1;   12.2;    9.9;eor
       2014;20151227;   10;  11.7;   5.4;    3;   0.1;   6;    0.000;   0;   7.4;  10.1; 1016.55;   11.6;   73.96;   13.2;    9.3;    6.7;eor
       2014;20151228;   10;   9.8;   3.7;    3;   0.1;   6;    2.600;   0;   7.6;  11.1; 1021.95;   10.4;   87.88;   12.8;    7.7;    7.6;eor
       2014;20151229;   10;  12.9;   5.2;    3;   0.0;   0;    1.617;   0;   7.5;   8.8; 1020.46;    6.4;   91.79;    8.5;    4.1;    2.6;eor
       2014;20151230;   10;  10.3;   4.0;    3;   0.0;   0;    0.000;   0;   5.6;   7.8; 1020.36;    5.6;   84.75;    7.5;    2.5;   -0.1;eor
       2014;20151231;   10;  11.3;   4.9;    3;   3.6;   6;    0.000;   0;   4.8;   6.8; 1013.30;    3.8;   83.33;    5.6;    2.2;   -0.7;eor
       2014;20160101;   10;   6.7;   2.5;    3;   0.0;   6;    0.017;   0;   5.7;   7.6; 1017.35;    4.3;   91.00;    6.5;    1.8;   -1.4;eor
       2014;20160102;   10;  16.1;   7.0;    3;   0.2;   7;    0.000;   0;   7.8;   6.0; 1010.43;    1.4;   87.92;    3.9;   -3.8;   -3.5;eor
       2014;20160103;   10;  14.7;   7.6;    3;   1.1;   7;    0.000;   1;   7.8;   3.8; 1002.53;   -4.1;   83.58;   -3.6;   -4.7;   -4.4;eor
       2014;20160104;   10;  12.7;   6.3;    3;   0.7;   8;    0.000;   2;   7.7;   3.3;  987.81;   -5.8;   83.42;   -4.7;   -6.7;   -6.9;eor
       2014;20160105;   10;  10.3;   6.1;    3;   2.8;   8;    0.000;   4;   8.0;   3.5;  990.30;   -5.6;   85.88;   -5.0;   -6.2;   -6.5;eor
       2014;20160106;   10;  10.6;   5.4;    3;   0.0;   7;    0.000;   7;   8.0;   3.2;  995.78;   -6.2;   83.63;   -5.4;   -7.0;   -7.2;eor
       2014;20160107;   10;  11.3;   5.5;    3;   2.8;   8;    0.000;   6;   8.0;   4.2;  991.06;   -3.5;   87.58;    4.2;   -6.0;   -5.9;eor
       2014;20160108;   10;  18.3;   6.5;    3;   0.0;   0;    2.333;   5;   4.5;   6.4;  992.23;    4.9;   74.42;    6.9;    1.5;   -4.0;eor
       2014;20160109;   10;   9.9;   3.7;    3;   0.0;   0;    3.783;   0;   3.6;   6.1;  994.94;    2.8;   82.13;    6.5;   -0.4;   -5.4;eor
       2014;20160110;   10;  13.4;   5.1;    3;   3.6;   6;    2.200;   0;   5.7;   7.5;  986.84;    5.5;   82.38;    8.3;    3.1;    0.4;eor
