STATIONS_ID; MESS_DATUM; QUALITAETS_NIVEAU; LUFTTEMPERATUR;DAMPFDRUCK;BEDECKUNGSGRAD;LUFTDRUCK_STATIONSHOEHE;REL_FEUCHTE; WINDGESCHWINDIGKEIT; LUFTTEMPERATUR_MAXIMUM;LUFTTEMPERATUR_MINIMUM;LUFTTEMP_AM_ERDB_MINIMUM; WINDSPITZE_MAXIMUM; NIEDERSCHLAGSHOEHE;NIEDERSCHLAGSHOEHE_IND;SONNENSCHEINDAUER; SCHNEEHOEHE;eor
     2014;19360101;   5;    7.9;   7.6;   6.7;  993.40;   70.00;-999;    9.9;    6.9;   -999;-999;   0.3;   1;    3.100;   0;eor
     2014;19360102;   5;    7.1;   8.0;   6.7;  988.20;   77.00;-999;    9.4;    5.9;   -999;-999;   0.2;   1;    2.400;   0;eor
     2014;19360103;   5;    5.7;   8.0;   7.7;  985.20;   85.00;-999;    7.8;    4.4;   -999;-999;   0.0;   1;    0.400;   0;eor
     2014;19360104;   5;    4.6;   7.6;   7.7; 1000.60;   88.00;-999;    6.7;    1.8;   -999;-999;   2.1;   1;    0.100;   0;eor
     2014;19360105;   5;    3.2;   6.8;   7.3; 1008.70;   87.00;-999;    6.2;    1.9;   -999;-999;   0.0;   0;    1.600;   0;eor
     2014;19360106;   5;    4.0;   6.0;   6.0;  997.50;   74.00;-999;    5.8;    1.1;   -999;-999;   0.0;   1;    0.400;   0;eor
     2014;19360107;   5;    5.5;   7.2;   7.0;  997.50;   81.00;-999;    6.6;    2.2;   -999;-999;   0.0;   0;    0.900;   0;eor
     2014;19360108;   5;    6.5;   7.7;   7.3;  999.90;   81.00;-999;    7.2;    5.0;   -999;-999;   5.2;   1;    0.100;   0;eor
     2014;19360109;   5;    7.9;   8.8;   8.0; 1001.80;   83.00;-999;    8.8;    6.4;   -999;-999;   4.2;   1;    0.000;   0;eor
     2014;19360110;   5;   11.3;  11.3;   7.7;  994.60;   84.00;-999;   13.0;    8.4;   -999;-999;   6.4;   1;    1.400;   0;eor
     2014;19360111;   5;    5.6;   6.9;   6.0; 1004.00;   73.00;-999;   10.9;    3.8;   -999;-999;   0.3;   1;    1.400;   0;eor
     2014;19360112;   5;    2.2;   6.3;   6.3; 1013.40;   85.00;-999;    4.8;    0.4;   -999;-999;   0.0;   1;    3.500;   0;eor
     2014;19360113;   5;    1.7;   5.9;   5.3; 1011.00;   86.00;-999;    3.1;    0.3;   -999;-999;   0.0;   1;    5.800;   0;eor
     2014;19360114;   5;    2.0;   5.9;   4.7; 1011.50;   83.00;-999;    3.8;   -0.3;   -999;-999;   1.0;   8;    4.900;   0;eor
     2014;19360115;   5;    1.3;   5.7;   6.3; 1013.60;   85.00;-999;    3.8;   -0.6;   -999;-999;   0.0;   0;    1.300;   0;eor
